A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Luka Dončić,DAL,70,2624,0.487,2370,647,686,99,38,11,282,149
Shai Gilgeous-Alexander,OKC,75,2553,0.535,2254,415,465,150,67,15,162,184
Giannis Antetokounmpo,MIL,73,2567,0.611,2222,841,476,87,79,13,250,210
Jalen Brunson,NYK,77,2726,0.479,2212,278,519,70,13,14,186,144
Nikola Jokić,DEN,79,2737,0.583,2085,976,708,108,68,14,237,194
Anthony Edwards,MIN,79,2770,0.461,2049,430,405,101,42,13,241,141
Kevin Durant,PHO,75,2791,0.523,2032,495,378,69,91,0,244,133
Jayson Tatum,BOS,74,2645,0.471,1987,601,364,75,43,15,188,145
De'Aaron Fox,SAC,74,2659,0.465,1966,340,418,150,31,7,194,193
Stephen Curry,GSW,74,2421,0.45,1956,330,379,54,28,6,210,117
DeMar DeRozan,CHI,79,2989,0.48,1897,340,421,90,45,7,135,161
Anthony Davis,LAL,76,2700,0.556,1876,961,266,91,178,8,159,177
Devin Booker,PHO,68,2447,0.492,1841,308,472,61,28,0,178,206
LeBron James,LAL,71,2504,0.54,1822,518,589,89,38,8,245,78
Tyrese Maxey,PHI,70,2626,0.45,1816,258,433,69,33,9,116,151
Paolo Banchero,ORL,80,2799,0.455,1804,554,431,71,47,11,247,153
Damian Lillard,MIL,73,2579,0.424,1775,320,508,72,18,13,193,134
Dejounte Murray,ATL,78,2783,0.459,1753,416,502,111,24,6,201,138
Pascal Siakam,2TM,80,2657,0.536,1737,565,342,63,25,0,141,193
Pascal Siakam,TOR,39,1354,0.522,865,246,190,32,10,4,83,87
Pascal Siakam,IND,41,1303,0.549,872,319,152,31,15,10,58,106
Paul George,LAC,74,2502,0.471,1671,388,262,113,37,12,153,202
Kawhi Leonard,LAC,68,2330,0.525,1613,416,244,111,59,12,119,97
Jaylen Brown,BOS,70,2343,0.499,1610,387,249,83,37,15,166,185
Jalen Green,HOU,82,2601,0.423,1610,423,291,66,28,5,191,115
Mikal Bridges,BRK,82,2854,0.436,1606,372,299,81,30,0,164,116
Zion Williamson,NOP,70,2207,0.57,1601,406,352,77,47,9,193,159
Domantas Sabonis,SAC,82,2928,0.594,1593,1120,673,74,48,7,272,250
Kyle Kuzma,WAS,70,2281,0.463,1553,464,296,37,49,2,192,153
Victor Wembanyama,SAS,71,2106,0.465,1522,755,274,88,254,2,260,153
Coby White,CHI,79,2881,0.447,1509,358,405,53,18,7,166,186
Kyrie Irving,DAL,58,2030,0.497,1487,290,299,74,28,11,106,112
Jaren Jackson Jr.,MEM,66,2124,0.444,1486,365,154,80,106,3,160,235
Cam Thomas,BRK,66,2075,0.442,1482,214,192,45,16,0,124,138
Donovan Mitchell,CLE,55,1942,0.462,1463,280,333,101,30,12,154,118
Collin Sexton,UTA,78,2075,0.487,1458,205,383,62,18,4,165,154
Miles Bridges,CHO,69,2581,0.462,1449,505,231,65,33,0,138,118
Franz Wagner,ORL,72,2337,0.482,1421,381,269,76,28,11,137,168
Cade Cunningham,DET,62,2074,0.449,1405,268,464,56,22,1,212,153
Tyrese Haliburton,IND,69,2224,0.477,1389,271,752,83,48,10,159,75
Trae Young,ATL,54,1942,0.43,1389,149,583,72,11,6,235,109
Klay Thompson,GSW,77,2284,0.432,1375,254,176,50,35,6,117,127
Nikola Vučević,CHI,76,2610,0.484,1370,801,254,50,60,7,120,190
D'Angelo Russell,LAL,76,2484,0.456,1369,236,482,69,36,8,156,156
Bam Adebayo,MIA,71,2416,0.521,1367,737,278,81,66,8,162,159
Chet Holmgren,OKC,82,2413,0.53,1357,648,200,53,190,15,131,197
